Video ID,Title,Channel,Published Date,Views,Likes,Comments,Duration,Description,Thumbnail,Video URL,Transcript,Clean Transcript,Summary,Keywords,Sentiment,Engagement Score,DL Sentiment
lV4FArkPN2E,How I Started DSA From Zero (Roadmap That Actually Worked),Manisha Panu,2026-06-07T13:52:04Z,32334,1348,122,PT10M18S,"In this video, I share my complete DSA journey from learning basic concepts like arrays and linked lists to following Striver's DSA ...",https://i.ytimg.com/vi/lV4FArkPN2E/hqdefault.jpg,https://www.youtube.com/watch?v=lV4FArkPN2E,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,4.55,NEGATIVE
pUoJCVzU2q4,"If I had to learn DSA again in 2026, I’d do this…",Code and Debug,2026-07-02T14:42:07Z,9096,573,51,PT11M35S,"Trying to learn DSA in 2026 feels overwhelming. LeetCode sheets, NeetCode, AI tools, contests, dynamic programming, graphs…",https://i.ytimg.com/vi/pUoJCVzU2q4/hqdefault.jpg,https://www.youtube.com/watch?v=pUoJCVzU2q4,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,6.86,NEGATIVE
9KeE_uDsOI8,5 Steps to Learn DSA - Complete Roadmap To Learn DSA,CareerRide,2023-09-21T13:41:59Z,1208604,83971,124,PT46S,Complete Roadmap To Learn DSA From Scratch #dsa #datastructures #freshers #students.,https://i.ytimg.com/vi/9KeE_uDsOI8/hqdefault.jpg,https://www.youtube.com/watch?v=9KeE_uDsOI8,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,6.96,NEGATIVE
wjFgd8JJ8NM,DSA Complete Roadmap 2026 in Telugu 🔥 | Step-by-Step Guide for Placements &amp; Coding Interviews,Swaroop Talks,2025-10-09T13:16:21Z,230287,9389,186,PT13M19S,Join https://www.codewithswaroop.com DSA Course Link: ...,https://i.ytimg.com/vi/wjFgd8JJ8NM/hqdefault.jpg,https://www.youtube.com/watch?v=wjFgd8JJ8NM,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,4.16,NEGATIVE
igs23AMpFBE,"If I Had to Start DSA from Scratch in 2026, this is EXACTLY what I’d Do",Akber Shaikh,2026-03-20T11:30:48Z,84626,3925,94,PT8M30S,"Starting DSA from scratch can feel confusing, especially with so many resources out there. In this video, we share a clear roadmap ...",https://i.ytimg.com/vi/igs23AMpFBE/hqdefault.jpg,https://www.youtube.com/watch?v=igs23AMpFBE,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,4.75,NEGATIVE
4_HOnhB64Dg,Data Structures and Algorithms (DSA) in Java 2024,Telusko,2024-10-07T13:16:12Z,692643,12564,225,PT4H54M17S,"Learn DSA in 5 hours. Check out our courses: Mastering Agentic AI with Java: Spring AI, LangChain4j, MCP & ADK: ...",https://i.ytimg.com/vi/4_HOnhB64Dg/hqdefault.jpg,https://www.youtube.com/watch?v=4_HOnhB64Dg,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,1.85,NEGATIVE
ux5WuEnYC0g,DSA is all you need? #tech #coding,Anu Sharma,2025-05-28T12:07:29Z,1235744,9251,249,PT6S,,https://i.ytimg.com/vi/ux5WuEnYC0g/hqdefault.jpg,https://www.youtube.com/watch?v=ux5WuEnYC0g,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,0.77,NEGATIVE
0bHoB32fuj0,Don&#39;t watch my A2Z DSA Course,take U forward,2024-03-01T06:05:07Z,3190192,36707,1071,PT8M24S,"Check out TUF+:https://takeuforward.org/plus?source=youtube Find DSA, LLD, OOPs, Core Subjects, 1000+ Premium Questions ...",https://i.ytimg.com/vi/0bHoB32fuj0/hqdefault.jpg,https://www.youtube.com/watch?v=0bHoB32fuj0,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,1.18,NEGATIVE
kZwy2GTckB8,LeetCode Vs CodeForces - Which is better for DSA? 🔥 #dsa #leetcode #codeforces #cp #coding,Kumar K [Amazon],2025-10-29T14:33:29Z,521724,7091,97,PT15S,I LOVE DSA :) LeetCode Vs CodeForces - Which is better for DSA? Join our best 850 hour course on DSA + OA + CP + System ...,https://i.ytimg.com/vi/kZwy2GTckB8/hqdefault.jpg,https://www.youtube.com/watch?v=kZwy2GTckB8,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,1.38,NEGATIVE
SGDS6NFN-_U,Introduction to Data Structure and Algorithm | DSA for Beginners,Jenny's Lectures CS IT,2025-05-16T13:30:07Z,140715,2230,90,PT46M26S,Placement Oriented Jennys Lectures DSA with Java Course (New Batch) ...,https://i.ytimg.com/vi/SGDS6NFN-_U/hqdefault.jpg,https://www.youtube.com/watch?v=SGDS6NFN-_U,Transcript Not Available,transcript available,Summary Not Available,"available, summary",Neutral,1.65,NEGATIVE
